smiles,label
CC1=CCC[C+]2[C@H](C)C[C@H](C(C)C)[C@@H]2C1,-28.9639091
C=C(C)[C@@H]1CC(C)(C)[C@H]2[CH+][C@H](C)CC[C@H]21,-19.89683673
CC[C@@H]1/C(C)=C\C=C(\C)[C@@H](C)CC[C+]1C,-12.62267021
C[C@@H]1C[C@@]12CC[C@H]1CC[C@H](C)[C+]2C[C@@H]1C,-23.7606434
C=C1CC([CH+][C@H](C)C[C@H]2CCC[C@H]2C)C1,2.704779231
C=C([CH+]C(C)C)[C@H](C)[C@@H]1CC=C(C)CC1,-11.77879715
C=C[C@H]1CC[C@H]([C@H](C)C[CH+]C(=C)C)CC1,2.32467759
C[C@@H]1C[C@H]2C[C+]3CC[C@@H]1[C@H](C3)CC2(C)C,-33.46385679
CC(C)C[C@@H]1C[C@@]2(C)C[C+]1[C@H](C)[C@H]1C[C@H]12,-13.28578186
C=C1C[C@H]2C[C@H](C)C(C)(C)[C@@H]2CC[C+]1C,-30.38160411
C[C+](C)[C@]1(C2CC=CC2)CC[C@@H](C)CC1,-20.02393771
CC1=C[C@@H](C[C@H](C)CC[C@H]2C[C@H]2C)C[CH+]1,-13.75810034
C=C1[CH+]CCC[C@]2(C)CC[C@@H](C)CC[C@H]12,-19.54374912
[CH2+]C1=CC[C@@]2(C)CCCC(C)(C)[C@H]2CC1,-20.25708971
C/C1=C2\CC[C@@H](C)[C@@H]2C[C@@H](C)[C+](C)CC1,-28.92146586
CC(C)=CCC[C@@H]1[C+]2CCC[C@@H]2C[C@H]1C,-27.4748356
C=C1C[CH+][C@@H](C)C(=C)[C@](C)(CC)CCC1,2.063028648
C[C+]1[C@H](C)[C@@H]2C(C)(C)C[C@@]23[C@H](C)CC[C@@H]13,-31.32607229
CC(C)=CCC[C+]1CCC[C@H]2C[C@]1(C)C2,-16.40218018
CC1=C[C@@]2(C)CCC[C@@H](C)[C+](C)[C@@H]2CC1,-30.6975733
C[C@@H]1CC[C@H]2CC3(CC3)[C@@H]1[CH+]CC2(C)C,-6.504660057
C=C1CCC[C@@H](C)C[C@@]2(C)C[CH+][C@@H](C1)C2,-4.16301786
C[C+]1CC[C@](C)([C@H]2CCC2(C)C)C12CC2,-14.2236297
C=C(C)[C@@H]1C[C@H]1[C@H](C)C[C+]1CC[C@H](C)C1,-8.959532648
[CH2+]/C=C1/[C@H](C)CC[C@]1(C)[C@@H]1CC[C@@H](C)C1,-25.76461747
C=C(C)[C@H]1CC[C+]2CC[C@@H](C)[C@@H](C1)[C@H]2C,-22.3397613
C[C@]12CCC[C@@H]3CC[C@@](C)(CCC1)[C+]3C2,-33.4999957
C=C(C)C[C@@H]1C[C+](C)[C@H]2[C@@H](C)CCC[C@H]12,-28.51931832
C[C+]1CC=CC[C@]2(C)[C@H](C(C)C)CC[C@H]12,-20.11932392
CC(C)C1=C[C@@H]2[C@@H](C)[CH+]C[C@@H]2[C@@H](C)CC1,-11.27174328
C[C+]1CCC2=CC(C)(C)[C@@](C)(CC2)CC1,-39.32549326
CC(C)[C@@H]1CC[C@H](C)[C@]23CCC[C+](C2)[C@H]13,-33.84736656
C[C@H](C1=C[CH+]C1(C)C)C1C[C@@H](C)[C@H](C)C1,-13.40183006
C=C(C)[C@H]1CC[C@@H]2[C+](C)CC[C@@H](C)[C@@H]2C1,-29.89734236
C[C@@H]1[CH+]C[C@@H](C)[C@@H]2CC[C@H]3C[C@]3(C2)[C@H]1C,-10.88556826
C[C+](C)[C@H]1CC[C@]2(C)[C@@H]3[C@H]1CCCC[C@H]32,-5.246584434
C/C1=C\C[C@@H](C)/C(C)=C/C[C+](C)CCC1,-6.600536269
CC(C)=C[C@@H]1C[C@@H](C)[C@H]2CC[C@H](C)[C+]1C2,-34.9754074
C[C@H]1CC[C@]2(C)[C+]1C[C@H]1CC(C)(C)C[C@@H]12,-34.39123192
C=C(C[C@H]1CC[C+](C)C1)[C@H]1CCC1(C)C,-5.386623963
C=C([C+]1C[C@H]2[C@H](CC[C@@H]2C)[C@@H]1C)C(C)C,-30.54468675
C[C+]1CCC2=CC[C@H](C)[C@H](CC1)C[C@H]2C,2.267783452
C[C+]1CC=C[C@H]([C@]2(C)CC[C@H]2C(C)C)C1,-3.512587296
C[C+](C/C=C/C(C)C)[C@@]12CC[C@@H](C1)[C@@H]2C,-12.69066197
C[C+]1C[C@@H]2[C@@H](C)CC[C@]23[C@@H](C[C@H]3C)[C@@H]1C,-31.27075099
C[C+]1C[C@H](C)C=C[C@@H](C(C)(C)C2CC2)C1,-0.390634227
CC(C)=CCC[CH+][C@H](C)C1=CCC[C@@H]1C,-17.84621551
C=C[C@@H](C)CC[C@H]1C(=C)CC[C@@H]1[C+](C)C,-8.554246352
C[C@@H]1C[C+]2[C@@H](CC[C@@H](C)[C@H]2C2(C)CC2)C1,-27.63325011
C[C@H]1C=C([CH+][C@H]2CCC2(C)C)[C@@H](C)CC1,-24.67964106
C=CC[C@H](C)[C@]1(C)[CH+]C[C@@H]2[C@@H](C)CC[C@@H]21,-27.15337153
C=C1CC[C+](C(C)C)[C@H]1C1(CC)CCC1,-6.600287757
C=C(C)C[C@@H]1CC[C@@]2(C)[C+](C)CC[C@@]12C,-26.70003384
C[C@H]1CCC[C@@H]2[C@@H](C)[C@H]2[C+]2C[C@@H](C1)[C@H]2C,-10.9339927
C[CH+][C@H]1CCC[C@@H]2[C@H]3CCC[C@]2(C)[C@@H]1C3,-28.09165681
C[C+]1[C@H]2/C=C/[C@@H](C)CC[C@@H]1C(C)(C)[C@@H]2C,-13.33884645
C[C+]1CC[C@H](C)[C@H]2CC(C)(C)C=CC[C@H]12,-27.2272236
C[C@@H]1/C=C/[CH+][C@@H](C)CC[C@H]2C[C@@H]1C[C@@H]2C,-10.2735205
C[C+]1CC[C@@H]2C[C@@]3(CCC[C@H]1C3)C[C@H]2C,-37.32595321
CC1=CC[C@H]([C@]2(C)CCC[C+](C)C2)CC1,-35.24431887
C=C(C)[C@H]1CC[C@@H](C)C[C+](C/C=C/C)C1,-13.21687386
C/C=C1/CC[C+]2CCC[C@H](C(C)C)[C@H]2C1,-35.28735907
CC1=C[C@@H](C[C@@H]2CCC(C)(C)[C+]2C)CC1,-31.62164929
C[C@H]1CC[C@H]2[C@@H]1C[C+]1CC[C@@]2(C)C1(C)C,-35.10475899
CC1=C2CC[C@@H](C)[C@@H](C2)[C@@H](C[C+](C)C)C1,-14.86281797
C[C+]1CCC[C@@]2(C)CC[C@@]23C[C@@H]1C3(C)C,-3.540736435
CC[C@@]1(C)C[CH+][C@]2(C)CC[C@@]23[C@@H](C)C[C@@H]13,-20.896255
C[C+]1C[C@@H]2[C@H](C)[C@H]3[C@@H]2[C@H]3[C@@H](C)CC[C@H]1C,2.878753607
CC1=C2CC[C+](C)[C@@H](C2)[C@@H](C(C)C)CC1,-26.07874387
C[C@H]1CC[C@H]2[C@@H]1[C@@H]1[CH+]C(C)(C)[C@@]2(C)CC1,-37.33741276
C=C1CC[C@H](C)[C@H]2[C@@H](CCC(C)C)[CH+][C@@H]12,-14.26293573
[CH2+]C1=C2CC[C@@H](C)C[C@@H]2CC(C)(C)CC1,-32.63754496
C=C1CC[C@@]2(C)[CH+]C[C@H](C(C)C)C[C@@H]1C2,-18.7944475
C[C+](C)[C@@H]1[C@H]2[C@@H](C)C[C@@H]1[C@H]1C[C@@H]2C[C@@H]1C,-27.44361391
[CH2+]/C1=C(/C)CC[C@H](C)CC/C(C)=C/CC1,-14.35677772
C[C+](C)[C@@H]1C[C@H]2CC3(CC[C@@H]1[C@H]2C)CC3,-22.19300514
CC(C)=CC[C@@H]1[C@@H]2CC[C@@H](C)[C@H]1C[C+]2C,-31.35423615
CC1=CC[C@H](C)[C+]2CC[C@H](C(C)C)C[C@H]12,-35.13699783
C=C1CC[C@@H](C(C)C)[C+](C)C/C1=C/CC,-18.71816989
C=C1CC[C+](C(C)C)C[C@@H]2[C@@H]1CC[C@H]2C,-28.45665987
C[C@H]1CC[C@H]([CH+][C@@H]2C[C@@H]3C[C@H]2C3(C)C)C1,-12.80697308
CC1=CC[C@]2(C)CC[C@H](C(C)C)C[C@@H]2[CH+]1,-37.62857039
C[C@@H]1CC[C@H]2[C@H]1CC(C)(C)[CH+]/C=C/[C@@H]2C,-21.73824038
C=C1CC[C@H]2[C@H]([C+](C)C)CC[C@]2(C)CC1,-26.42222249
C[C@@H]1CCC[C@]2(C)C[C@H]3C[CH+][C@H]1C[C@@H]3C2,-5.216978202
C=C1CC[C@@H]([C+](C)C)[C@H]2[C@H](CC[C@H]2C)C1,-23.86023189
C[C+]1/C=C\C(C)(C)[C@@]2(C)CCC[C@H]2CC1,-19.22661199
C=C(C)C[C@@]1(C)C[C@@H]2CC[C+]1[C@@H](C)[C@@H]2C,2.339712832
C[C@H]1[CH+][C@@H]2CC[C@]3(C)CC[C@@H]3[C@@H](C)[C@H]2C1,-13.11281197
C[C@@H]1C[CH+]C[C@]2(CC1)C[C@@H]1C[C@H]2C1(C)C,1.134792034
C[C@@H]1C[CH+][C@H]2[C@H]3[C@@](C)(CCC1)CC[C@@]23C,-25.36459012
[CH2+]C1=CC[C@@H]([C@]2(C)CC[C@@H]2C(C)C)CC1,1.042022889
C[C@@H]1C[CH+][C@@]2(C)CC=CC(C)(C)[C@@H]2CC1,-15.43413838
C=C1[CH+][C@]2(CCC1)[C@@H](C)CCCC2(C)C,-29.20892938
C=C1[C+]2CC[C@@H]2C[C@]1(C)CCCC(C)C,-8.396517288
CC(C)[C@H]1CC[C@@H]2CC[C@]3(C)[C+]1C[C@]23C,-26.0090732
C[C+]1[C@H](C)[C@@H]2C[C@@]3(C)[C@@H](C)CC[C@@]3(C)[C@H]12,-17.29919173
C[C+]1C[C@H]2C[C@]3(CC[C@H]1C)CC[C@@]2(C)C3,-21.98000416
C[C@@H]1CCC[C+]2[C@H](C)C[C@@]23[C@@H](C1)C[C@@H]3C,-10.78335006
C[C@H]1[CH+]C[C@H]([C@]2(C)C=CCC2(C)C)CC1,-7.2947166
C[CH+]CC1=C[C@@]2(CC[C@@H](C)C2)C(C)(C)C1,-31.35269813
C=C(C)C[C@@H]1[C+]2CC[C@@H](C)[C@H]2CC1(C)C,-24.05339582
C[C+](C)[C@@H]1C=CC[C@@H]1C[C@H]1CC[C@@H](C)C1,-24.08159557
C[C@H]1CC[C+]2[C@H](C)[C@]3(CC[C@@H]13)CC2(C)C,-17.7032457
C=C1CC(C)(C)C/C(=C/C)CCC[C+]1C,-5.699982634
CC(C)=CCC[C@@H](C)C[C@@H]1[CH+]C=C[C@@H]1C,-14.26767297
CC1(C)C=C2C[CH+][C@@](C)(CCCC1)CC2,-23.28835056
CC(C)=C1[CH+]C[C@]2(CCC[C@@H](C)CC2)C1,-40.4839035
C=C1CC[C+]2[C@H]1CC[C@H](C)CCC2(C)C,-19.68964187
C=C1[CH+][C@H]([C@]2(C)CC[C@@H]2C(C)C)C[C@@H]1C,0.041822704
C[C@H]1C[C@H]2[CH+][C@@H](C)CC[C@@H]3C(C)(C)C[C@]123,-10.47367073
C=C(C)CC[C@@H](C)[C+]1CCC/C(=C\C)C1,-18.73142714
C/C1=C(/C[C@H]2C[C@H]2C)CCCC[C+](C)C1,-0.839033797
C[C+]1CC[C@@H]2CC[C@]12C[C@H]1C[C@H]1C(C)C,-7.94439182
C[C@]12CCC[C@@]1(C)[C@H]1CCC[C+](CC2)C1,-36.27434049
C[C@@H]1C[C@@H]2C[C@H]1C[C@H](C)[C@@H]1C[CH+][C@H](C)[C@@H]21,-23.74237112
C[C+]1CC=C[C@@H]2CC[C@H](C)[C@@H](C)CC[C@@H]12,-17.43421425
C=C1C[CH+][C@@H]2CC[C@]2(CCCC(C)C)C1,-2.879790406
[CH2+]C(C)=C1CC[C@H](C)[C@@H]2CC[C@H](C)[C@@H]2C1,-32.85258476
C=C[C@H]1CC[C+]([C@@H](C)C[C@H]2C[C@H](C)C2)C1,-8.345138483
C=C1CC[C@H]2CC[C@H](C(C)C)[CH+][C@@H]1[C@@H]2C,-19.65045899
C[C+]1C[C@H]2C[C@@H]3CCC[C@H](C)[C@@](C1)(C3)C2,-37.45551944
C[C@@H]1CC[C@]23CCC[C@](C)(C[C+]1CC2)C3,-22.14165885
C[C@H]1CC[C@]2(C)C[C@H]1[CH+][C@@H]1[C@@H](C)CC[C@H]12,-32.43696499
C/C=C(/C)[CH+][C@@]1(C)CC[C@@H]2[C@@H](C)CC[C@@H]21,-22.03699166
C[C@@H]1CC[C@]2(CC2(C)C)[C+]2CCC1CC2,-25.99988788
C/C=C1/C/C=C(/C)CC[C@H]([C+](C)C)CC1,-7.385956965
C[C@H]1CC[C@H]2C[C@@]13CC[C+](C3)[C@@H](C)[C@@H]2C,-29.52588658
C/C=C1/CCC[C@@H]2CCC[C@@H](C)[C+]1CC2,-23.92038658
C[C+]1[C@@H]2CC[C@H]1[C@@]1(C)CCC(C)(C)[C@H]1C2,-37.75154885
C[C+]1CC[C@H]2[C@H](C)C[C@H]2[C@H]2[C@H]1CC2(C)C,-19.9424009
CC(C)[C@H]1CC[C@]2(C)C[C@@H]3[C@@H](C[C@H]3C)[C+]12,-29.02052166
C=C(C)[C@H]1CC[C@@]2(C1)[C+](C)CCC[C@@H]2C,-29.36794102
C=C1CC[CH+][C@@H](C)[C@H](C)C[C@H]2CC[C@@H]1C2,-3.997747922
C[C@H]1C[C@@H]2[CH+][C@H]3C[C@@H](C)C[C@@]1(C2)C3(C)C,4.17577359
C=C(C)[C@@H]1[CH+][C@H]2[C@@H](C1)[C@@H](C)CCC[C@H]2C,-29.08369295
C=C1CC[C+](C)[C@@H]2C[C@@H]2[C@H](C)[C@H](C)CC1,-8.333172349
CC[C@H]1CC(C)(C)[C@@H]2[C@@H]3[CH+][C@H]1[C@H]2C[C@@H]3C,-35.40185342
CC(C)=CCC[C@H]1CC[C@@H]2C[C@H]1C[C+]2C,-30.64879568
C=C(C)[C@@H]1CCC[C@@H]1C[C@@H]1[CH+][C@@H](C)CC1,-10.73071783
C/C1=C/CC[C@]2(C)CC[C@]2(C)[C+](C)CC1,-8.376536311
CC1=C2CC[C+](C)C[C@@H]2C(C)(C)CCC1,-28.58324133
C[C@@H]1CC[C+]2[C@H]1CC(C)(C)[C@H]1CC[C@@]21C,-38.69942101
[CH2+]C1=C[C@H]2C[C@@H](C)[C@]1(C)CC[C@H]2C(C)C,-24.83468523
C=CCC(=C(C)C)[C@H](C)[C@@H]1[CH+][C@@H](C)CC1,-34.99553788
C[C@H]1[CH+]/C=C\[C@@H](C)[C@@H]2[C@H](C)[C@@H](C)[C@H]2CC1,-9.438911567
CC(C)C[C+]1C[C@@H]2C[C@H]3[C@@H]2CCC[C@@]13C,-29.80733699
C/C1=C/C[C@]2(C)C[CH+][C@@H](C)[C@@]2(C)CCC1,-0.374392305
C[C+](C)[C@@H]1CCC2=C(C1)C(C)(C)C[C@H]2C,-36.16121533
CC1=CC[C@@]2(C)CC[C@@H](C)[C+](C)[C@@H](C1)C2,-26.44400435
C[C@@H]1CC(C)(C)C[C@H]2C[C@]3(CCC[C+]13)C2,-24.81635577
C[C+]([C@H]1CC[C@@H](C)CC1)[C@H]1C[C@H]2C[C@]21C,-6.211798188
CC1=C2CC[C@@H](C)[C@H](C2)[C@H](C(C)C)C[CH+]1,-36.23605415
CC(C)=CCC[C+](C)[C@@]12CC[C@@H](C)[C@@H]1C2,-24.7420447
C[C@H]1C[C@H]2C[C@H]3[C+]1C[C@@H](C[C@@H]2C)C3(C)C,-37.2491695
C[C@H]1C[CH+]C[C@@]2([C@H]3CC[C@@H](C)CC3)C[C@@H]12,-8.860614688
CC1=CC[C@H]2[C+](C)[C@@H](C)CC[C@H](C)[C@@H]2C1,-32.69486656
C[C+]1C[C@H](C)[C@@]12[C@@H](C)CC[C@@H](C)C21CC1,-1.209215391
C/C=C1/CC[C@H]([C@@H](C)C/C=C/[C+](C)C)C1,-22.81569508
C[C@H]1C[C@@]2([C@H]3CC[C@H](C)CC3)CC[CH+][C@@H]12,-22.4927769
CC1=CC[C@]2(C)C[CH+][C@@H](C)[C@H](C)[C@H]2CC1,-13.96154696
C=C[C@@H]1CC[C@H](C)C2(CCC[C+]1C)CC2,2.438273524
C=C1C[CH+][C@H](C)CC[C@H]1C/C=C\C(C)C,-7.507049695
CC1=C(C)C(C)(C)[C@@H]2CC[C@H](C)[C@@H]2C[CH+]1,-31.74691743
CC1=C[C@@H]2C[C@H]([C+](C)C1)[C@H](C)CC[C@H]2C,-31.65537737
C[C+]1CC[C@@H]2CCC[C@@H]3[C@@H](CC[C@H]1C)[C@H]23,-24.04774103
C[C+]1CCC[C@]2(C)C[C@]3(C2)[C@H](C(C)C)[C@H]13,-13.33009217
C[C@H]1C/C=C\[C+]2CCC[C@](C)(CCC1)C2,-37.14271216
C[C+]1CC[C@]2(C(C)C)[C@@H]3C[C@H]1C[C@H]2[C@@H]3C,-19.05306599
C[C+](C)C1=C[C@H]2[C@@H](C)CCC[C@@H](C)[C@H]2C1,-38.68347829
C[C+]1CCC[C@H](C)[C@H]2CC[C@@]23C[C@H]3[C@H]1C,1.655600374
C/C1=C/CC[C@@H](C)[C@@H]2CC(C)(C)[C+]2CC1,-15.29951506
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H]3CC[C@H]([CH+][C@H]2C1)C3,-34.89113174
C/C1=C/[C+]2CCC[C@H]([C@@H](C)C[C@H]1C)[C@@H]2C,-34.30521517
C=C1CC[C@H]2C[C@](C)([CH+]CC(C)C)C[C@@H]12,-15.38470385
C[C+](C)[C@H]1/C=C\[C@]2(C)CC[C@@H]2[C@@H](C)CC1,2.851552157
C=C(C)C[C+]1CC[C@@H](C)[C@H]2CC[C@@H](C)[C@@H]12,-28.30427373
CC1=CC[C+]([C@H]2CCC(C)(C)[C@@H]2C)CC1,-37.2705526
C[C+]1CC=C2[C@@H](C)CC[C@H]([C@H]2C)C1(C)C,-25.29129063
